,playlist_name,playlist_id,name,album_name,artist,id,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,y
0,Sad Tamil Songs 🥀,6ybCs40CUSVISYNRoqtQAZ,Veshangalil Poiyillai - Additional Song,Remo Special (Original Background Score + Additional Song),Anirudh Ravichander,1Uxuizxwr1ODjC9RTiisz2,43,False,0.188,0.2,11,-14.561,0,0.0321,0.849,0.00176,0.113,0.104,87.879,64286,4,0
1,Sad Hindi Melodies,37i9dQZF1DXdFesNN9TzXT,Saazish,Dhindora,Rekha Bhardwaj,1lUiAVWYybAHIznMWDS3XQ,59,False,0.543,0.415,5,-11.604,1,0.0308,0.757,0.000626,0.0903,0.281,80.008,280063,4,0
2,sad songs to cry to,70VaOHyjpsWcmA4gxosExZ,free love - dream edit,nswy: dream edits,HONNE,3HAsf0o0TJY9WL4zKCzE3u,54,False,0.67,0.22,8,-10.214,1,0.0422,0.939,7.61e-05,0.111,0.139,119.604,249945,4,0
3,Sad Songs 😢 ,7ABD15iASBIpPP5uJ5awvq,Dust On The Ground,Flaws,Bombay Bicycle Club,2SbIONplUQ0BvXyRgGDgCz,0,False,0.605,0.319,10,-10.892,1,0.0306,0.757,0.00237,0.116,0.273,109.599,243752,4,0
4,Sad Songs 😢 ,7ABD15iASBIpPP5uJ5awvq,Should Have Known Better,Carrie & Lowell,Sufjan Stevens,5I6y1KWmUoV5YCaIEcs1qs,33,False,0.571,0.172,7,-20.7,1,0.0318,0.979,0.275,0.124,0.297,90.972,307698,4,0
5,Sad Songs,37i9dQZF1DX7qK8ma5wgG1,(I should) take better care,(I should) take better care,Cody Frost,4UL4KALnWgkFlKHEIJUGUH,50,False,0.581,0.209,2,-7.295,0,0.0293,0.839,2.05e-06,0.106,0.237,125.067,274947,4,0
6,sad songs :(,0uVeGcLzYnzdIm23yve8K8,Love You From a Distance,Love You From a Distance,Ashley Kutcher,1iS5OWhDZQsiBtsI5AQ8SQ,0,False,0.333,0.538,4,-8.653,1,0.0325,0.557,0.0,0.0977,0.63,149.377,204000,4,0
7,Sad Hindi Melodies,37i9dQZF1DXdFesNN9TzXT,Woh Chaand Kahan Se Laogi,Woh Chaand Kahan Se Laogi,Vishal Mishra,5LrLEdTTE5eGsVnwJNByII,48,False,0.473,0.349,8,-8.44,0,0.0381,0.823,0.0,0.102,0.385,143.374,280690,4,0
8,Sad songs for broken hearts💔,6O3D1ub73Ht0hKvjcI8WMb,Fire Away,Flicker (Deluxe),Niall Horan,7JyZzz4rMPMWMsb27vArSN,55,False,0.598,0.478,6,-11.304,1,0.0314,0.259,0.000321,0.0994,0.255,140.012,206362,4,0
9,sad songs for sad nights ,4yXfnhz0BReoVfwwYRtPBm,オレンジ,Anipps,7!!,7p30D2KjK2XW7YUvI6nH3o,67,False,0.356,0.489,7,-4.845,1,0.0323,0.177,0.0,0.116,0.319,171.558,350200,4,0
10,SAD LOVE SONGS,53NEfJTEt86ytgk5SaqMjZ,Slow Dancing in a Burning Room,Continuum,John Mayer,2jdAk8ATWIL3dwT47XpRfu,75,False,0.667,0.361,1,-8.69,0,0.0273,0.575,0.00506,0.0805,0.29,134.018,242000,5,0
11,Sad Songs For The Boys❤️‍🩹💔,5wxOPjYjARkhfaEtD7LItO,NUMB,?,XXXTENTACION,01TnVDiet1DFTsyWKUKovl,76,False,0.414,0.416,11,-8.024,0,0.0251,0.1,0.179,0.131,0.196,159.91,186268,4,0
12,sad songs :(,0uVeGcLzYnzdIm23yve8K8,I'll Be Good,Feel Something,Jaymes Young,4JuJZzGcswQszYiKJSnC6i,68,False,0.389,0.277,7,-10.757,1,0.0323,0.698,0.0,0.0966,0.125,89.32,247347,4,0
13,sad tiktok songs 2021,1T3sDN0j3hzg6NE3dbiSmX,death bed (coffee for your head),death bed (coffee for your head),Powfu,7eJMfftS33KTjuF7lTsMCx,86,False,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,173333,4,0
14,Sad Hindi Songs - a little broken 🥺,4YOfhHpjPB0tq29NPpDY3F,"Humnava (From ""Hamari Adhuri Kahani"")","Humnava (From ""Hamari Adhuri Kahani"")",Mithoon,4wqyrrwu6HCZWqdbOx53JX,51,False,0.341,0.478,4,-7.201,0,0.041,0.781,2.07e-05,0.147,0.276,199.435,328854,4,0
